jday,high,low,"Thu,mx","Thu,min",HU,sumHU,frPHU
261,25.6,8.2,25.6,10,7.8,1175.74672,0.979789
262,26.1,9.3,26.1,10,8.05,1183.79672,0.986497
263,25.9,10.3,25.9,10.3,8.1,1191.89672,0.993247
264,25.8,14.3,25.8,14.3,10.05,1201.94672,1.001622
265,20,14.1,20,14.1,7.05,1208.99672,1.007497
266,22.3,13.2,22.3,13.2,7.75,1216.74672,1.013956
267,22.6,14.9,22.6,14.9,8.75,1225.49672,1.021247
268,21.4,11.1,21.4,11.1,6.25,1231.74672,1.026456
269,11.1,8.4,11.1,10,0.55,1232.29672,1.026914
270,12,8,12,10,1,1233.29672,1.027747
271,16.6,4.8,16.6,10,3.3,1236.59672,1.030497
272,19.3,2.8,19.3,10,4.65,1241.24672,1.034372
273,21.7,5.8,21.7,10,5.85,1247.09672,1.039247
274,16.2,6.1,16.2,10,3.1,1250.19672,1.041831
275,11.6,7.1,11.6,10,0.8,1250.99672,1.042497
276,17.3,8,17.3,10,3.65,1254.64672,1.045539
277,12.8,4.6,12.8,10,1.4,1256.04672,1.046706
278,15.7,2,15.7,10,2.85,1258.89672,1.049081
279,21.2,8,21.2,10,5.6,1264.49672,1.053747
280,23.8,12.9,23.8,12.9,8.35,1272.84672,1.060706
281,13.1,4.2,13.1,10,1.55,1274.39672,1.061997
282,11.8,0.1,11.8,10,0.9,1275.29672,1.062747
283,14,-2.5,14,10,2,1277.29672,1.064414
284,16.2,-2,16.2,10,3.1,1280.39672,1.066997
285,19.1,-1.9,19.1,10,4.55,1284.94672,1.070789
286,18.7,-0.3,18.7,10,4.35,1289.29672,1.074414
287,18.7,3.3,18.7,10,4.35,1293.64672,1.078039
288,17.9,9.2,17.9,10,3.95,1297.59672,1.081331
289,21.5,11.6,21.5,11.6,6.55,1304.14672,1.086789
290,20.5,14.4,20.5,14.4,7.45,1311.59672,1.092997
291,20.3,12.2,20.3,12.2,6.25,1317.84672,1.098206
292,18,7.1,18,10,4,1321.84672,1.101539
293,16.9,2.1,16.9,10,3.45,1325.29672,1.104414
294,20.4,0.8,20.4,10,5.2,1330.49672,1.108747
295,20.9,3.9,20.9,10,5.45,1335.94672,1.113289
296,13.1,1.9,13.1,10,1.55,1337.49672,1.114581
297,6.2,1.8,6.2,10,0,1337.49672,1.114581
298,5.8,2.4,5.8,10,0,1337.49672,1.114581
299,8.6,-0.6,8.6,10,0,1337.49672,1.114581
300,15.2,-1.1,15.2,10,2.6,1340.09672,1.116747
301,16,6.5,16,10,3,1343.09672,1.119247
302,16,-0.4,16,10,3,1346.09672,1.121747
303,14.6,-0.6,14.6,10,2.3,1348.39672,1.123664
304,10,0.2,10,10,0,1348.39672,1.123664
305,10.6,-1.5,10.6,10,0.3,1348.69672,1.123914
306,13.9,3.8,13.9,10,1.95,1350.64672,1.125539
307,15.1,8.8,15.1,10,2.55,1353.19672,1.127664
308,8.9,5.8,8.9,10,0,1353.19672,1.127664
309,8,5.4,8,10,0,1353.19672,1.127664
310,10.6,-2.2,10.6,10,0.3,1353.49672,1.127914
311,13.6,-0.8,13.6,10,1.8,1355.29672,1.129414
312,12.6,6.2,12.6,10,1.3,1356.59672,1.130497
313,8.7,-3.1,8.7,10,0,1356.59672,1.130497
314,10.6,-4.5,10.6,10,0.3,1356.89672,1.130747
315,10.6,-3.2,10.6,10,0.3,1357.19672,1.130997
316,7.6,1.6,7.6,10,0,1357.19672,1.130997
317,13.9,6.7,13.9,10,1.95,1359.14672,1.132622
318,14,-0.1,14,10,2,1361.14672,1.134289
319,8.1,-4.2,8.1,10,0,1361.14672,1.134289
320,9,-5.3,9,10,0,1361.14672,1.134289
321,7.5,0,7.5,10,0,1361.14672,1.134289
322,8.6,-2,8.6,10,0,1361.14672,1.134289
323,4.3,-6.2,4.3,10,0,1361.14672,1.134289
324,8.5,1.3,8.5,10,0,1361.14672,1.134289
325,8.8,-3.6,8.8,10,0,1361.14672,1.134289
326,2.2,-6.7,2.2,10,0,1361.14672,1.134289
327,4.8,-4,4.8,10,0,1361.14672,1.134289
328,7.6,-3,7.6,10,0,1361.14672,1.134289
329,6.6,-4.4,6.6,10,0,1361.14672,1.134289
330,2.4,-7.4,2.4,10,0,1361.14672,1.134289
331,6.8,-1,6.8,10,0,1361.14672,1.134289
332,0.9,-2.7,0.9,10,0,1361.14672,1.134289
333,-1.6,-5.4,-1.6,10,0,1361.14672,1.134289
334,1.8,-6.8,1.8,10,0,1361.14672,1.134289
335,8.8,-2,8.8,10,0,1361.14672,1.134289
336,10.3,-0.2,10.3,10,0.15,1361.29672,1.134414
337,12.1,-1.8,12.1,10,1.05,1362.34672,1.135289
338,8,-2.6,8,10,0,1362.34672,1.135289
339,6.6,-4,6.6,10,0,1362.34672,1.135289
340,-3.9,-6.6,-3.9,10,0,1362.34672,1.135289
341,-2.3,-16.8,-2.3,10,0,1362.34672,1.135289
342,-2.1,-16.5,-2.1,10,0,1362.34672,1.135289
343,-2.6,-17.1,-2.6,10,0,1362.34672,1.135289
344,-6.6,-17.6,-6.6,10,0,1362.34672,1.135289
345,-7.6,-19.8,-7.6,10,0,1362.34672,1.135289
346,-5.7,-18,-5.7,10,0,1362.34672,1.135289
347,-8.4,-15.9,-8.4,10,0,1362.34672,1.135289
348,-2.9,-10.9,-2.9,10,0,1362.34672,1.135289
349,0.1,-2.9,0.1,10,0,1362.34672,1.135289
350,0.6,-1.5,0.6,10,0,1362.34672,1.135289
351,0.6,-3.1,0.6,10,0,1362.34672,1.135289
352,-1.3,-17.6,-1.3,10,0,1362.34672,1.135289
353,-1.2,-16.6,-1.2,10,0,1362.34672,1.135289
354,2.9,-3.4,2.9,10,0,1362.34672,1.135289
355,8.3,-7.8,8.3,10,0,1362.34672,1.135289
356,2.4,-8,2.4,10,0,1362.34672,1.135289
357,1.2,-2.3,1.2,10,0,1362.34672,1.135289
358,1,-6.2,1,10,0,1362.34672,1.135289
359,4.3,-6.9,4.3,10,0,1362.34672,1.135289
360,4.4,-9.1,4.4,10,0,1362.34672,1.135289
361,4.5,-0.3,4.5,10,0,1362.34672,1.135289
362,2.5,-5.2,2.5,10,0,1362.34672,1.135289
363,1.2,-6,1.2,10,0,1362.34672,1.135289
364,-0.6,-7.1,-0.6,10,0,1362.34672,1.135289
365,-1.8,-7.2,-1.8,10,0,1362.34672,1.135289
