jday,Hday,Hphosyn,Δbiomax,γreg,Δbioactual,bioactual
191,21.8000,8.6108,335.8224,0.9725,326.5793,5363.6924
192,16.0000,6.3667,248.2994,0.9748,242.0529,5605.7453
193,28.8000,11.5254,449.4908,0.9096,408.8636,6014.6089
194,8.7000,3.4940,136.2662,0.8836,120.4111,6135.0200
195,20.7000,8.3378,325.1729,0.9733,316.4789,6451.4989
196,27.3000,11.0381,430.4875,0.9555,411.3148,6862.8137
197,18.4000,7.4617,291.0049,0.9433,274.5046,7137.3184
198,6.7000,2.7237,106.2247,0.9693,102.9610,7240.2794
199,12.1000,4.9330,192.3855,0.9679,186.2154,7426.4948
200,22.4000,9.1573,357.1347,0.9719,347.0840,7773.5788
201,20.3000,8.3166,324.3475,0.9370,303.9147,8077.4935
202,21.7000,8.9014,347.1560,0.9225,320.2421,8397.7356
203,21.3000,8.7467,341.1210,0.8714,297.2495,8694.9851
204,10.9000,4.4798,174.7111,0.9721,169.8360,8864.8211
205,15.4000,6.3366,247.1273,0.9704,239.8233,9104.6445
206,18.1000,7.4567,290.8115,0.9710,282.3706,9387.0150
207,25.4000,10.4759,408.5583,0.0100,4.0856,9391.1006
208,14.6000,6.0219,234.8559,0.9730,228.5102,9619.6108
209,21.7000,8.9568,349.3169,0.9726,339.7506,9959.3613
210,20.7000,8.5488,333.4021,0.9643,321.4990,10280.8603
211,26.5000,10.9484,426.9891,0.9590,409.4716,10690.3319
212,11.4000,4.7115,183.7487,0.9555,175.5651,10865.8970
213,22.5000,9.3018,362.7702,0.9709,352.2194,11218.1164
214,22.4000,9.2636,361.2813,0.9301,336.0213,11554.1377
215,22.8000,9.4310,367.8081,0.8746,321.6722,11875.8099
216,21.6000,8.9360,348.5037,0.4865,169.5586,12045.3685
217,15.1000,6.2474,243.6495,0.7671,186.8934,12232.2620
218,18.2000,7.5308,293.7016,0.8179,240.2220,12472.4840
219,21.3000,8.8145,343.7643,0.8134,279.6034,12752.0874
220,22.3000,9.2292,359.9395,0.9225,332.0346,13084.1220
221,10.8000,4.4703,174.3415,0.9720,169.4597,13253.5817
222,24.4000,10.1009,393.9369,0.9715,382.6920,13636.2737
223,22.7000,9.3987,366.5483,0.9707,355.8187,13992.0924
224,21.5000,8.9030,347.2158,0.9733,337.9444,14330.0368
225,21.5000,8.9040,347.2554,0.9703,336.9527,14666.9894
226,16.4000,6.7925,264.9083,0.9710,257.2276,14924.2170
227,13.8000,5.7161,222.9296,0.9713,216.5221,15140.7391
228,18.9000,7.8292,305.3372,0.9713,296.5832,15437.3224
229,21.6000,8.9481,348.9757,0.9724,339.3406,15776.6630
230,5.2000,2.1543,84.0172,0.9729,81.7421,15858.4050
231,17.0000,7.0431,274.6812,0.9719,266.9559,16125.3609
232,16.3000,6.7533,263.3806,0.9653,254.2384,16379.5993
233,23.2000,9.6124,374.8819,0.9184,344.2874,16723.8867
234,11.1000,4.5991,179.3646,0.9633,172.7790,16896.6657
235,17.9000,7.4167,289.2511,0.9726,281.3358,17178.0015
236,22.5000,9.3229,363.5928,0.9715,353.2390,17531.2405
237,21.5000,8.9087,347.4402,0.9736,338.2544,17869.4948
238,20.3000,8.4116,328.0538,0.9723,318.9581,18188.4530
239,18.6000,7.7073,300.5861,0.9717,292.0663,18480.5193
240,11.6000,4.8068,187.4644,0.9719,182.1984,18662.7176
241,7.0000,2.9007,113.1259,0.9490,107.3594,18770.0771
242,10.7000,4.4339,172.9220,0.9725,168.1611,18938.2382
243,21.2000,8.7850,342.6143,0.6722,230.3133,19168.5515
244,22.0000,9.1165,355.5440,0.5835,207.4507,19376.0022
